School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
20-21,Elementary School,496,A. Z. Kelley Elementary,0001,37013,4,Below Average,745,,< 5%,20%,18%,19%,19%,20%,,,,,,,,,10%,14%,37%,25%,10%,24%,53%,47%,37%,11%,38%,06/01/2021
20-21,Elementary School,375,Alex Green Elementary,0005,37189,3,Below Average,313,,5%,20%,18%,20%,19%,18%,,,,,,,,,10%,10%,83%,10%,10%,7%,48%,52%,74%,12%,16%,06/01/2021
20-21,Elementary School,105,Amqui Elementary,0010,37115,5,Average,445,,6%,20%,18%,19%,16%,21%,,,,,,,,,10%,10%,43%,46%,10%,10%,50%,50%,58%,9%,34%,06/01/2021
20-21,Elementary School,460,Andrew Jackson Elementary,0015,37138,7,Above Average,409,< 10,6%,16%,22%,19%,18%,19%,,,,,,,,,10%,6%,29%,16%,10%,49%,52%,48%,25%,13%,9%,06/01/2021
20-21,High School,110,Antioch High School,0020,37013,2,Below Average,1894,,,,,,,,,,,,26%,26%,26%,22%,10%,5%,35%,44%,10%,17%,53%,47%,38%,11%,35%,06/01/2021
20-21,Middle School,111,Antioch Middle,0023,37013,4,Below Average,684,,,,,,,,,27%,36%,37%,,,,,10%,7%,34%,45%,10%,13%,52%,48%,48%,12%,46%,06/01/2021
20-21,Middle School,577,Apollo Middle,0025,37013,2,Below Average,790,,,,,,,,22%,23%,26%,29%,,,,,10%,5%,27%,53%,10%,14%,51%,49%,47%,12%,48%,06/01/2021
20-21,Middle School,130,Bellevue Middle,0040,37221,3,Below Average,592,,,,,,,,23%,22%,28%,27%,,,,,10%,5%,34%,13%,10%,47%,52%,48%,35%,18%,10%,06/01/2021
20-21,Elementary School,135,Bellshire Elementary,0045,37207,4,Below Average,310,< 5%,5%,18%,20%,20%,18%,15%,,,,,,,,,10%,10%,81%,13%,10%,6%,52%,48%,70%,16%,12%,06/01/2021
20-21,Charter,118,Brick Church College Prep,0118,37207,4,Below Average,325,,,,,,,,17%,25%,28%,30%,,,,,10%,10%,82%,13%,10%,5%,48%,52%,77%,17%,21%,06/01/2021
20-21,Elementary School,419,Cambridge Early Learning Center,7005,37013,NA,Unranked,100,,> 95%,,,,,,,,,,,,,,10%,10%,62%,11%,10%,25%,55%,45%,42%,14%,22%,06/01/2021
20-21,Elementary School,184,Cane Ridge Elementary,0082,37013,6,Average,630,,5%,16%,17%,16%,18%,16%,12%,,,,,,,,10%,5%,49%,25%,10%,23%,52%,48%,41%,8%,37%,06/01/2021
20-21,High School,182,Cane Ridge High School,0077,37013,2,Below Average,1806,,,,,,,,,,,,26%,24%,24%,25%,10%,8%,40%,35%,10%,18%,52%,48%,37%,12%,31%,06/01/2021
20-21,Elementary School,185,Carter-Lawrence Elementary,0670,37203,4,Below Average,202,,< 10,13%,17%,18%,23%,25%,,,,,,,,,10%,10%,82%,8%,10%,7%,47%,53%,57%,12%,11%,06/01/2021
20-21,Elementary School,186,Casa Azafran Early Learning Center,7020,37211,NA,Unranked,49,< 10,86%,,,,,,,,,,,,,,10%,10%,22%,33%,10%,41%,63%,37%,10%,27%,10%,06/01/2021
20-21,Elementary School,200,Chadwell Elementary,0105,37115,4,Below Average,289,,< 5%,24%,21%,15%,17%,20%,,,,,,,,,10%,10%,54%,37%,10%,9%,50%,50%,55%,12%,29%,06/01/2021
20-21,Elementary School,205,Charlotte Park Elementary,0110,37209,4,Below Average,470,< 10,5%,19%,19%,18%,19%,19%,,,,,,,,,10%,9%,18%,57%,10%,16%,54%,46%,35%,11%,54%,06/01/2021
20-21,Elementary School,215,Cockrill Elementary,0120,37209,4,Below Average,248,< 10,6%,17%,22%,17%,18%,17%,,,,,,,,,10%,10%,53%,31%,10%,15%,46%,54%,60%,18%,24%,06/01/2021
20-21,Elementary School,225,Cole Elementary,0130,37013,4,Below Average,827,,6%,15%,17%,16%,18%,16%,12%,,,,,,,,10%,12%,10%,67%,10%,12%,52%,48%,41%,9%,63%,06/01/2021
20-21,Special Education,448,Cora Howe School,0443,37206,NA,Unranked,73,,,,,< 10,< 10,< 10,< 10,< 10,14%,< 10,15%,< 10,< 10,15%,10%,10%,68%,10%,10%,26%,85%,15%,51%,95%,10%,06/01/2021
20-21,Middle School,783,Creswell Middle School of the Arts,0700,37218,3,Below Average,305,,,,,,,,20%,27%,29%,25%,,,,,10%,10%,89%,6%,10%,6%,39%,61%,49%,11%,10%,06/01/2021
20-21,Elementary School,235,Crieve Hall Elementary,0145,37220,7,Above Average,415,,,24%,20%,20%,19%,17%,,,,,,,,,10%,22%,5%,25%,10%,47%,48%,52%,11%,5%,31%,06/01/2021
20-21,Middle School,238,Croft Middle,0148,37211,3,Below Average,739,,,,,,,,27%,22%,27%,24%,,,,,10%,5%,19%,51%,10%,27%,50%,50%,33%,11%,42%,06/01/2021
20-21,Elementary School,240,Cumberland Elementary,0150,37218,5,Average,390,,,18%,20%,17%,23%,22%,,,,,,,,,10%,10%,82%,9%,10%,8%,50%,50%,74%,15%,6%,06/01/2021
20-21,Elementary School,560,Dan Mills Elementary,0160,37216,7,Above Average,544,< 10,< 5%,17%,19%,20%,20%,18%,,,,,,,,,10%,10%,15%,19%,10%,64%,49%,51%,22%,11%,14%,06/01/2021
20-21,Elementary School,252,Dodson Elementary,0165,37076,4,Below Average,387,< 10,7%,19%,14%,24%,17%,18%,,,,,,,,,10%,10%,53%,19%,10%,26%,49%,51%,54%,19%,15%,06/01/2021
20-21,Middle School,260,Donelson Middle,0175,37214,4,Below Average,727,,,,,,,,23%,24%,26%,27%,,,,,10%,10%,46%,21%,10%,32%,50%,50%,50%,16%,20%,06/01/2021
20-21,Elementary School,265,Dupont Elementary,0180,37138,3,Below Average,314,< 10,7%,21%,18%,19%,18%,17%,,,,,,,,,10%,10%,28%,16%,10%,54%,54%,46%,44%,13%,9%,06/01/2021
20-21,Middle School,270,Dupont-Hadley Middle,0190,37138,4,Below Average,564,,,,,,,,25%,23%,27%,25%,,,,,10%,5%,34%,11%,10%,53%,53%,47%,34%,17%,7%,06/01/2021
20-21,Middle School,275,Dupont-Tyler Middle,0185,37076,2,Below Average,517,,,,,,,,24%,23%,29%,24%,,,,,10%,5%,46%,26%,10%,25%,50%,50%,52%,16%,21%,06/01/2021
20-21,Elementary School,278,Eagle View Elementary,0115,37013,6,Average,645,,< 5%,15%,16%,17%,16%,17%,13%,,,,,,,,10%,5%,54%,29%,10%,14%,52%,48%,47%,11%,35%,06/01/2021
20-21,Elementary School,280,Eakin Elementary,0195,37212,7,Above Average,456,,,20%,20%,22%,18%,21%,,,,,,,,,10%,11%,38%,6%,10%,44%,49%,51%,20%,13%,7%,06/01/2021
20-21,Charter,286,East End Preparatory School,8009,37216,6,Average,856,,,10%,12%,12%,12%,12%,10%,10%,11%,11%,,,,,10%,10%,77%,13%,10%,9%,48%,52%,50%,11%,6%,06/01/2021
20-21,Middle School,296,East Nashville Middle,0296,37206,2,Below Average,335,,,,,,,,23%,23%,26%,28%,,,,,10%,10%,93%,5%,10%,10%,50%,50%,60%,13%,10%,06/01/2021
20-21,High School,290,East Nashville School,0203,37206,2,Below Average,632,,,,,,,,,,,,26%,25%,25%,24%,10%,10%,94%,5%,10%,5%,45%,55%,44%,9%,10%,06/01/2021
20-21,Charter,305,Explore Community School,8060,37206,1,Below Average,487,,,16%,19%,16%,16%,19%,14%,,,,,,,,10%,10%,56%,5%,10%,38%,47%,53%,47%,16%,5%,06/01/2021
20-21,Elementary School,308,Fall-Hamilton Elementary,0220,37203,3,Below Average,307,< 10,13%,18%,15%,18%,20%,14%,,,,,,,,,10%,10%,63%,21%,10%,14%,54%,46%,60%,21%,16%,06/01/2021
20-21,Elementary School,315,Gateway Elementary,0235,37115,NA,Unranked,197,,,23%,14%,23%,20%,19%,,,,,,,,,10%,10%,38%,42%,10%,20%,56%,44%,47%,13%,35%,06/01/2021
20-21,Elementary School,320,Glencliff Elementary,0240,37211,6,Average,546,< 10,< 5%,16%,22%,18%,19%,21%,,,,,,,,,10%,5%,12%,70%,10%,14%,51%,49%,34%,7%,60%,06/01/2021
20-21,High School,325,Glencliff High School,0245,37211,2,Below Average,1057,,,,,,,,,,,,27%,24%,26%,23%,10%,5%,20%,62%,10%,14%,55%,45%,40%,10%,52%,06/01/2021
20-21,Elementary School,330,Glendale Elementary,0250,37204,9,Above Average,413,< 10,5%,20%,23%,19%,16%,16%,,,,,,,,,10%,5%,7%,10%,10%,79%,54%,46%,10%,9%,10%,06/01/2021
20-21,Elementary School,335,Glengarry Elementary,0255,37217,5,Average,363,,< 5%,19%,17%,24%,17%,20%,,,,,,,,,10%,10%,9%,78%,10%,12%,52%,48%,37%,8%,73%,06/01/2021
20-21,Elementary School,345,Glenview Elementary,0265,37217,4,Below Average,544,,< 5%,17%,21%,19%,18%,21%,,,,,,,,,10%,10%,15%,72%,10%,13%,57%,43%,41%,7%,72%,06/01/2021
20-21,Elementary School,350,Goodlettsville Elementary,0270,37072,5,Average,323,< 10,7%,16%,18%,20%,18%,20%,,,,,,,,,10%,5%,42%,24%,10%,27%,54%,46%,42%,15%,14%,06/01/2021
20-21,Middle School,355,Goodlettsville Middle,0275,37072,2,Below Average,597,,,,,,,,26%,24%,23%,27%,,,,,10%,5%,45%,33%,10%,19%,50%,50%,46%,15%,25%,06/01/2021
20-21,Elementary School,360,Gower Elementary,0280,37209,6,Average,496,< 10,7%,17%,22%,17%,15%,20%,,,,,,,,,10%,9%,26%,16%,10%,48%,54%,46%,33%,18%,15%,06/01/2021
20-21,Elementary School,370,Granbery Elementary,0290,37027,8,Above Average,659,,,20%,21%,23%,19%,17%,,,,,,,,,10%,14%,13%,17%,10%,56%,50%,50%,19%,9%,22%,06/01/2021
20-21,Middle School,434,H.G. Hill Middle School,0295,37205,4,Below Average,641,,,,,,,,25%,24%,27%,24%,,,,,10%,7%,27%,29%,10%,38%,51%,49%,36%,15%,32%,06/01/2021
20-21,Elementary School,395,Harpeth Valley Elementary,0300,37221,7,Above Average,617,< 10,< 5%,17%,22%,19%,21%,19%,,,,,,,,,10%,8%,13%,6%,10%,71%,50%,50%,12%,10%,6%,06/01/2021
20-21,Special Education,397,Harris-Hillman Special Education,0302,37212,NA,Unranked,582,26%,18%,< 5%,< 5%,5%,5%,5%,< 5%,< 5%,< 5%,< 5%,< 5%,< 5%,< 10,15%,10%,5%,28%,13%,10%,55%,64%,36%,21%,85%,7%,06/01/2021
20-21,Elementary School,230,Hattie Cotton Elementary,0140,37206,5,Average,235,< 10,6%,19%,18%,18%,20%,18%,,,,,,,,,10%,10%,72%,17%,10%,10%,53%,47%,61%,9%,15%,06/01/2021
20-21,Middle School,400,Haynes Middle,0305,37207,4,Below Average,498,,,,,,,,21%,25%,26%,28%,,,,,10%,10%,82%,6%,10%,11%,56%,44%,79%,21%,5%,06/01/2021
20-21,Elementary School,405,Haywood Elementary,0310,37211,4,Below Average,534,< 10,< 5%,19%,19%,19%,20%,18%,,,,,,,,,10%,13%,11%,66%,10%,10%,50%,50%,47%,10%,71%,06/01/2021
20-21,Middle School,410,Head Middle,0315,37203,6,Average,562,,,,,,,,32%,31%,16%,20%,,,,,10%,6%,62%,5%,10%,26%,50%,50%,32%,6%,6%,06/01/2021
20-21,Elementary School,552,Henry C Maxwell Elementary,0318,37013,5,Average,598,< 10,7%,17%,19%,18%,17%,21%,,,,,,,,,10%,11%,21%,45%,10%,23%,53%,47%,39%,10%,47%,06/01/2021
20-21,Elementary School,415,Hermitage Elementary,0320,37076,4,Below Average,277,< 10,8%,15%,20%,22%,14%,20%,,,,,,,,,10%,10%,25%,26%,10%,47%,55%,45%,36%,20%,19%,06/01/2021
20-21,Elementary School,420,Hickman Elementary,0327,37214,3,Below Average,372,< 10,6%,12%,17%,18%,23%,22%,,,,,,,,,10%,5%,43%,22%,10%,31%,52%,48%,43%,15%,20%,06/01/2021
20-21,High School,435,Hillsboro High,0335,37215,4,Below Average,1199,,,,,,,,,,,,29%,25%,25%,21%,10%,5%,52%,8%,10%,36%,52%,48%,29%,14%,5%,06/01/2021
20-21,High School,440,Hillwood High,0340,37205,3,Below Average,1031,,,,,,,,,,< 10,,27%,29%,23%,21%,10%,7%,36%,18%,10%,38%,54%,46%,36%,16%,15%,06/01/2021
20-21,Elementary School,451,Hull-Jackson Elementary,0350,37208,2,Below Average,375,19%,17%,13%,16%,13%,13%,8%,,,,,,,,,10%,10%,87%,5%,10%,5%,49%,51%,53%,11%,10%,06/01/2021
20-21,High School,450,Hume-Fogg High,0355,37203,9,Above Average,899,,,,,,,,,,,,26%,25%,24%,25%,10%,10%,22%,9%,10%,58%,39%,61%,9%,5%,10%,06/01/2021
20-21,High School,452,Hunters Lane High,0358,37207,2,Below Average,1312,,,,,,,,,,,,28%,29%,25%,17%,10%,5%,43%,39%,10%,17%,55%,45%,46%,13%,24%,06/01/2021
20-21,Elementary School,175,Ida B. Wells Elementary,0080,37207,2,Below Average,231,< 10,< 10,18%,20%,17%,19%,22%,,,,,,,,,10%,10%,91%,6%,10%,10%,53%,47%,83%,13%,7%,06/01/2021
20-21,Elementary School,455,Inglewood Elementary,0360,37216,2,Below Average,212,,7%,22%,16%,17%,17%,21%,,,,,,,,,10%,10%,75%,10%,10%,20%,47%,53%,68%,15%,10%,06/01/2021
20-21,Charter,457,Intrepid College Prep Charter,8048,37013,6,Average,859,,,,,,,,16%,15%,15%,16%,14%,12%,8%,< 5%,10%,10%,21%,69%,10%,9%,48%,52%,32%,10%,50%,06/01/2021
20-21,Middle School,510,Isaac Litton Middle,0365,37216,4,Below Average,406,,,,,,,,24%,26%,24%,26%,,,,,10%,10%,37%,14%,10%,47%,55%,45%,37%,17%,10%,06/01/2021
20-21,Elementary School,152,Ivanetta H. Davis Learning Center at Bordeaux,7010,37218,NA,Unranked,112,34%,66%,,,,,,,,,,,,,,10%,10%,73%,10%,10%,13%,55%,45%,50%,47%,10%,06/01/2021
20-21,Elementary School,310,J.E. Moss Elementary,0370,37013,4,Below Average,708,< 10,< 5%,18%,16%,21%,25%,16%,,,,,,,,,10%,7%,14%,71%,10%,8%,50%,50%,44%,10%,60%,06/01/2021
20-21,Middle School,120,Jere Baxter Middle,0375,37207,2,Below Average,524,,,,,,,,26%,29%,24%,21%,,,,,10%,10%,57%,29%,10%,13%,55%,45%,62%,17%,28%,06/01/2021
20-21,Elementary School,465,Joelton Elementary,0380,37080,4,Below Average,194,< 10,< 10,19%,21%,15%,21%,20%,,,,,,,,,10%,10%,21%,13%,10%,65%,49%,51%,46%,19%,8%,06/01/2021
20-21,Elementary School,790,John B. Whitsitt Elementary,0390,37210,5,Average,436,,< 5%,16%,19%,20%,19%,21%,,,,,,,,,10%,10%,12%,72%,10%,14%,47%,53%,40%,9%,57%,06/01/2021
20-21,Middle School,285,John Early Middle,0386,37208,3,Below Average,285,,,,,,,,31%,21%,21%,27%,,,,,10%,10%,85%,9%,10%,5%,54%,46%,81%,24%,7%,06/01/2021
20-21,Middle School,498,John F. Kennedy Middle,0393,37013,2,Below Average,805,,,,,,,,23%,23%,27%,26%,,,,,10%,5%,39%,41%,10%,16%,48%,52%,43%,10%,41%,06/01/2021
20-21,High School,615,John Overton High,0395,37220,3,Below Average,1983,,,,,,,,,,,,28%,26%,22%,24%,10%,8%,20%,44%,10%,28%,53%,47%,36%,9%,36%,06/01/2021
20-21,Middle School,563,John Trotwood Moore Middle,0490,37204,5,Average,658,,,,,,,,25%,26%,25%,25%,,,,,10%,5%,32%,5%,10%,61%,57%,43%,24%,15%,5%,06/01/2021
20-21,Non-Traditional - Hybrid,480,Johnson Alternative Learning Center,0740,37210,NA,Unranked,46,,,,,,,,,< 10,< 10,< 10,22%,22%,22%,< 10,10%,10%,70%,28%,10%,10%,87%,10%,83%,41%,10%,06/01/2021
20-21,Elementary School,485,Jones Elementary,0387,37208,1,Below Average,269,< 10,< 10,15%,18%,19%,23%,22%,,,,,,,,,10%,10%,94%,10%,10%,10%,52%,48%,74%,12%,10%,06/01/2021
20-21,Elementary School,380,Julia Green Elementary,0415,37215,6,Average,364,,,20%,22%,20%,21%,17%,,,,,,,,,10%,6%,5%,5%,10%,86%,53%,47%,5%,10%,5%,06/01/2021
